OPENSEA URLS FOR AUTO BUYING,MAX BUYING PRICE,MIN BUYING PRICE
https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/77145546951944958763741319904361551411909238433895885342936554025825874214913,0.08,0.01
https://opensea.io/assets/0x60f80121c31a0d46b5279700f9df786054aa5ee5/73203,0.08,0.01
